UserID.S2,UserID.S1,DOC.S2,DOC.S1,DAYS,DOB,AGE,GENDER.S2,GENDER.S1,EDUCATION.S2,EDUCATION.S1,INCOME.S2,INCOME.S1,UFES1,UFES2,UFES3,UFES4,RETEST1,RETEST2,CSIP_TEXT,CSIP_VAL1,CSIP_VAL2,CSIP_VAL3,CSIP_VAL,CSIP1.2,CSIP2.2,CSIP3.2,CSIP4.2,CSIP5.2,CSIP6.2,CSIP7.2,CSIP8.2,CSIP9.2,CSIP10.2,CSIP11.2,CSIP12.2,CSIP13.2,CSIP14.2,CSIP15.2,CSIP16.2,CSIP17.2,CSIP18.2,CSIP19.2,CSIP20.2,CSIP21.2,CSIP22.2,CSIP23.2,CSIP24.2,CSIP25.2,CSIP26.2,CSIP27.2,CSIP28.2,CSIP29.2,CSIP30.2,CSIP31.2,CSIP32.2,CSIP33.2,CSIP34.2,CSIP35.2,CSIP36.2,CSIP37.2,CSIP38.2,CSIP39.2,CSIP40.2,CSIP41.2,CSIP42.2,CSIP43.2,CSIP44.2,CSIP45.2,CSIP46.2,CSIP47.2,CSIP48.2,CSIP49.2,CSIP50.2,CSIP51.2,CSIP52.2,CSIP53.2,CSIP54.2,CSIP55.2,CSIP56.2,CSIP57.2,CSIP58.2,CSIP59.2,CSIP60.2,CSIP61.2,CSIP62.2,CSIP63.2,CSIP64.2,CSIP8a.2,CSIP19a.2,CSIP32a.2,CSIP34a.2,CSIP44a.2,CSIP54a.2,CSIP1.1,CSIP2.1,CSIP3.1,CSIP4.1,CSIP5.1,CSIP6.1,CSIP7.1,CSIP8.1,CSIP9.1,CSIP10.1,CSIP11.1,CSIP12.1,CSIP13.1,CSIP14.1,CSIP15.1,CSIP16.1,CSIP17.1,CSIP18.1,CSIP19.1,CSIP20.1,CSIP21.1,CSIP22.1,CSIP23.1,CSIP24.1,CSIP25.1,CSIP26.1,CSIP27.1,CSIP28.1,CSIP29.1,CSIP30.1,CSIP31.1,CSIP32.1,CSIP33.1,CSIP34.1,CSIP35.1,CSIP36.1,CSIP37.1,CSIP38.1,CSIP39.1,CSIP40.1,CSIP41.1,CSIP42.1,CSIP43.1,CSIP44.1,CSIP45.1,CSIP46.1,CSIP47.1,CSIP48.1,CSIP49.1,CSIP50.1,CSIP51.1,CSIP52.1,CSIP53.1,CSIP54.1,CSIP55.1,CSIP56.1,CSIP57.1,CSIP58.1,CSIP59.1,CSIP60.1,CSIP61.1,CSIP62.1,CSIP63.1,CSIP64.1,PASS
17668434,861787699,3/21/2020 18:18,6/27/2019 13:37,268.2,6/14/1958 0:00,61.81,1,1,6,6,4,4,0,0,1,0,0,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,2,1,0,0,0,1,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,0,0
19486912,330196377,3/4/2020 22:09,6/26/2019 23:05,251.96,6/20/2000 0:00,19.79,0,0,4,4,4,4,1,0,0,0,0,0,1,1,1,1,3,0,0,0,0,0,2,2,2,0,0,0,0,1,2,2,1,0,0,0,0,1,0,2,0,0,0,1,0,2,2,1,1,0,0,0,0,2,2,2,0,0,0,0,1,2,2,2,0,0,0,0,1,0,2,3,0,0,0,0,1,2,3,2,0,0,0,1,0,1,2,0,0,0,0,1,3,2,3,0,0,1,0,2,2,3,1,0,0,0,1,1,2,2,1,0,0,0,0,2,3,3,1,0,0,0,0,2,2,3,0,0,0,0,0,2,3,2,1,0,0,1,1,3,3,3,0,0,3,0,1,2,3,2,1,1
44913475,947323275,3/3/2020 22:22,6/27/2019 8:29,250.58,8/21/1952 0:00,67.62,1,1,5,5,1,1,,,,,0,0,1,1,1,1,3,0,0,0,0,0,1,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,1
48923280,1746180174,3/4/2020 13:51,6/27/2019 20:16,250.73,6/12/1997 0:00,22.81,0,0,5,4,0,0,0,0,1,0,2,1,1,1,1,0,2,1,0,1,1,2,2,2,3,0,0,0,1,1,1,1,3,1,0,0,0,0,2,2,3,1,0,0,0,2,2,3,1,0,0,2,0,1,1,3,1,0,0,1,1,2,2,2,1,1,0,0,1,3,2,3,0,0,0,0,1,2,2,2,1,3,0,1,1,1,2,1,0,0,1,2,2,3,2,0,0,0,1,0,1,2,3,0,0,0,0,0,0,1,1,0,0,1,0,2,3,3,1,0,0,0,0,0,2,3,2,0,0,0,0,0,2,3,0,1,0,0,1,1,1,3,1,0,0,0,0,1,3,2,1,1
74101214,29398327,3/5/2020 20:04,6/29/2019 15:40,250.18,8/14/1998 0:00,21.64,0,0,4,4,2,2,0,0,1,0,0,0,1,1,1,1,3,1,1,1,2,1,2,2,0,1,0,1,1,1,2,2,1,0,0,0,1,0,1,0,3,0,0,2,1,2,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1,3,0,0,0,1,2,2,2,1,1,1,0,1,2,3,3,0,0,0,0,0,0,1,1,1,1,0,1,1,2,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1,2,0,0,0,2,1,1,1,1,1,0,0,1,1,1,2,0,0,1
77699825,1928382941,3/3/2020 16:10,6/26/2019 8:04,251.34,9/7/1965 0:00,54.57,0,0,6,6,4,4,0,1,0,0,2,2,1,0,1,1,2,1,0,2,1,0,0,3,2,0,0,0,2,1,0,2,2,0,0,0,1,0,0,2,1,0,1,0,0,0,2,0,0,0,1,0,2,0,2,2,0,0,0,0,1,0,2,3,0,0,1,1,0,0,1,2,1,0,0,1,1,1,3,2,1,1,1,0,1,0,0,3,0,2,0,2,0,3,1,0,0,0,1,0,1,2,2,2,0,0,2,0,0,1,2,0,1,0,0,1,3,2,0,0,0,0,1,0,3,2,0,0,0,0,0,0,3,3,0,0,0,1,0,0,1,2,0,1,0,0,1,0,3,1,0,1
78746743,651901361,3/12/2020 8:47,6/27/2019 16:19,258.69,2/4/2001 0:00,19.16,1,1,4,4,1,1,0,1,0,0,2,1,1,0,1,1,2,0,0,3,3,2,3,1,0,0,2,3,3,3,2,3,0,0,0,0,2,2,0,3,0,2,0,3,2,3,3,2,2,0,3,3,3,2,2,2,1,0,1,3,3,2,3,1,0,2,1,3,2,1,1,1,2,3,0,1,3,3,0,0,1,2,0,1,1,3,1,0,0,3,3,3,1,2,3,0,2,3,3,3,2,3,0,0,1,0,3,2,1,3,0,2,0,2,1,2,3,3,3,0,3,3,3,2,2,2,0,0,1,3,3,3,3,3,1,3,1,3,3,3,1,3,3,1,0,3,3,2,1,3,2,1
131141118,2094780984,3/3/2020 14:00,6/25/2019 20:49,251.72,10/1/1981 0:00,38.51,0,0,6,6,4,4,0,0,1,0,0,1,1,1,0,1,2,0,0,0,0,2,2,3,2,0,0,0,0,0,1,2,3,0,0,0,0,2,1,1,2,0,0,0,0,2,3,2,0,0,0,0,0,2,1,2,0,0,0,0,1,1,3,3,2,0,0,0,0,2,2,2,2,0,0,0,0,1,3,2,0,1,0,0,1,1,1,0,0,1,1,3,3,3,3,0,0,0,1,2,2,3,3,0,0,0,0,3,1,1,2,0,0,3,0,3,3,3,0,0,1,1,3,3,3,3,0,0,0,1,2,2,3,3,1,0,0,0,2,2,2,2,1,0,0,1,1,2,3,2,0,1
219302651,1236381735,3/4/2020 19:21,6/28/2019 17:30,250.08,5/31/2000 0:00,19.84,0,0,4,4,2,1,0,0,1,0,0,0,1,0,1,0,1,0,2,1,3,2,0,1,0,0,2,2,3,2,0,0,0,2,1,2,3,2,0,1,1,1,1,3,1,2,1,3,0,0,0,3,3,3,0,2,0,2,1,3,3,2,1,0,0,1,3,2,3,1,1,0,2,2,2,3,3,0,0,2,0,0,3,0,3,3,1,1,2,3,3,3,0,1,0,0,2,2,3,2,1,1,1,3,2,1,3,1,0,1,1,0,0,2,0,1,1,3,0,0,2,2,3,1,0,1,0,1,0,2,2,1,2,0,1,0,2,2,3,1,1,1,3,1,1,3,3,0,0,1,0,0
237919932,779348362,3/4/2020 9:41,6/30/2019 11:58,247.9,5/5/2000 0:00,19.92,1,1,4,4,0,1,0,0,1,0,1,1,1,1,1,1,3,0,0,1,3,1,0,2,2,0,0,0,2,2,1,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,3,0,0,1,2,2,0,1,0,0,0,0,0,0,0,3,2,0,0,1,2,2,0,0,3,2,1,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,1,2,0,0,0,1,2,0,2,0,0,0,0,1,0,0,2,1,0,0,1,0,0,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1
244888207,2085093637,3/4/2020 23:39,6/26/2019 7:30,252.67,11/26/1984 0:00,35.35,1,1,6,6,4,4,,,,,0,0,1,1,1,0,2,2,0,2,0,2,3,3,3,0,0,0,0,2,3,3,3,1,3,1,1,1,2,2,3,0,0,0,0,1,3,3,0,0,0,0,1,2,3,3,0,0,0,0,3,2,2,2,1,1,0,0,1,3,3,3,1,0,0,0,0,3,3,3,1,0,1,0,0,1,2,1,0,0,0,1,3,3,3,0,0,1,0,1,3,3,1,0,0,0,0,0,3,3,3,0,0,1,0,2,3,3,0,0,0,0,0,3,3,3,0,0,2,0,0,3,3,3,0,0,0,0,0,2,3,3,0,1,0,0,0,3,3,3,0,1
