UserID,DOC,DOB,AGE,GENDER,EDUCATION,INCOME,UFES1,UFES2,UFES3,UFES4,CSIP1,CSIP2,CSIP3,CSIP4,CSIP5,CSIP6,CSIP7,CSIP8,CSIP9,CSIP10,CSIP11,CSIP12,CSIP13,CSIP14,CSIP15,CSIP16,CSIP17,CSIP18,CSIP19,CSIP20,CSIP21,CSIP22,CSIP23,CSIP24,CSIP25,CSIP26,CSIP27,CSIP28,CSIP29,CSIP30,CSIP31,CSIP32,CSIP33,CSIP34,CSIP35,CSIP36,CSIP37,CSIP38,CSIP39,CSIP40,CSIP41,CSIP42,CSIP43,CSIP44,CSIP45,CSIP46,CSIP47,CSIP48,CSIP49,CSIP50,CSIP51,CSIP52,CSIP53,CSIP54,CSIP55,CSIP56,CSIP57,CSIP58,CSIP59,CSIP60,CSIP61,CSIP62,CSIP63,CSIP64
917456,6/26/2019 12:16,10/18/1990 0:00,29.2,1,6,4,0,1,0,0,2,1,1,0,2,3,1,2,3,2,1,1,1,3,2,2,2,3,1,0,2,2,2,2,3,3,1,0,3,2,0,1,2,1,1,0,2,3,1,2,2,2,0,1,2,2,3,2,3,0,1,2,1,2,2,0,3,2,0,0,2,3,1,3
1520183,7/18/2019 15:45,2/10/1992 0:00,27.89,0,6,2,0,0,1,0,1,0,2,2,3,3,3,0,0,0,2,2,3,3,2,0,0,0,1,2,3,2,2,0,0,0,2,2,2,3,2,0,0,1,1,2,2,2,3,0,0,1,1,1,2,2,1,0,0,0,3,3,3,3,2,0,2,2,2,3,3,3,2,0
7881125,6/27/2019 12:40,9/15/1999 0:00,20.3,0,3,3,0,0,1,0,1,0,0,0,2,1,2,1,0,0,0,1,1,1,1,2,1,0,0,1,2,0,1,2,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,3,2,3,0,0,0,1,1,3,0,1,0,0,0,0,0,1,1,3,0
8234559,6/27/2019 22:40,1/23/1992 0:00,27.94,0,6,4,0,0,1,0,3,3,2,2,2,3,2,0,3,3,2,2,1,3,2,2,3,3,3,2,1,1,0,0,3,3,2,2,3,2,1,2,3,3,3,3,1,3,0,3,3,0,2,3,3,0,1,3,3,3,1,1,0,3,1,1,3,1,1,1,3,3,0,3
10560657,6/28/2019 15:56,12/20/1969 0:00,50.03,1,6,4,0,0,1,0,2,0,0,1,1,2,2,1,0,0,0,1,1,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,0,0,1,0,0,0,1,1,0,2,0,0
11112119,6/25/2019 21:54,11/29/1981 0:00,38.09,1,6,3,0,0,1,0,0,1,0,1,2,2,1,0,0,0,1,0,0,0,2,1,0,0,0,0,0,0,1,2,2,1,0,0,0,1,3,3,1,0,0,0,0,1,1,1,0,0,0,0,0,1,1,2,2,1,1,0,1,0,1,1,0,1,0,0,0,0,0,2
12926488,6/26/2019 20:57,9/28/1993 0:00,26.26,0,6,1,0,0,1,0,1,0,0,1,2,1,3,2,0,1,1,1,1,1,2,0,0,3,1,0,1,0,0,2,2,0,0,0,0,1,2,0,1,0,0,0,1,1,3,0,0,0,0,0,0,2,1,0,1,2,2,1,0,1,3,1,2,0,0,1,3,2,3,1
15407606,6/26/2019 18:48,2/7/1995 0:00,24.9,1,4,3,0,0,1,0,0,1,1,2,2,2,1,2,0,1,0,3,2,2,2,0,1,1,0,2,3,0,0,1,2,0,1,0,2,2,1,0,0,2,3,3,2,2,2,0,0,0,0,2,2,1,1,0,1,1,3,3,2,1,1,1,1,3,3,3,2,1,0,0
15699227,6/26/2019 21:38,7/13/2000 0:00,19.47,1,4,1,0,0,1,0,0,0,1,1,1,2,1,1,0,0,0,1,2,2,0,1,0,0,0,1,2,1,1,0,0,0,0,0,1,1,2,0,0,0,0,1,1,1,1,0,0,0,0,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,0
15978156,6/26/2019 19:28,8/17/1973 0:00,46.37,0,6,4,0,0,0,1,1,0,1,1,1,2,3,2,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,2,1,1,0,0,0
16649967,6/26/2019 16:55,6/3/1990 0:00,29.58,0,6,4,0,0,1,0,0,0,2,0,1,2,2,1,0,0,1,0,2,1,2,3,2,3,1,2,1,1,2,3,2,0,2,0,1,0,0,0,2,2,2,1,2,1,3,0,1,0,2,1,0,3,3,1,1,2,0,1,1,0,3,3,1,0,2,1,1,2,3,0
17448402,6/27/2019 9:30,7/9/2000 0:00,19.48,0,4,3,0,0,1,0,1,2,2,3,0,1,1,0,0,1,2,3,2,0,0,0,0,0,0,3,1,0,0,0,2,0,2,3,1,0,1,0,0,2,3,3,0,0,0,0,0,2,2,1,1,1,2,0,1,2,3,2,3,1,3,3,1,3,2,2,3,0,0,0
