UserID,DOC,DOB,AGE,GENDER,EDUCATION,INCOME,CSIP_TEXT,CSIP_VAL1,CSIP_VAL2,CSIP_VAL3,CSIP_VAL,CSIP1,CSIP2,CSIP3,CSIP4,CSIP5,CSIP6,CSIP7,CSIP8,CSIP9,CSIP10,CSIP11,CSIP12,CSIP13,CSIP14,CSIP15,CSIP16,CSIP17,CSIP18,CSIP19,CSIP20,CSIP21,CSIP22,CSIP23,CSIP24,CSIP25,CSIP26,CSIP27,CSIP28,CSIP29,CSIP30,CSIP31,CSIP32,CSIP33,CSIP34,CSIP35,CSIP36,CSIP37,CSIP38,CSIP39,CSIP40,CSIP41,CSIP42,CSIP43,CSIP44,CSIP45,CSIP46,CSIP47,CSIP48,CSIP49,CSIP50,CSIP51,CSIP52,CSIP53,CSIP54,CSIP55,CSIP56,CSIP57,CSIP58,CSIP59,CSIP60,CSIP61,CSIP62,CSIP63,CSIP64,CSIP8a,CSIP19a,CSIP32a,CSIP34a,CSIP44a,CSIP54a,RETEST1,RETEST2,PASS
2569324,3/5/2020 9:06,1/11/1995 0:00,25.23,0,6,1,1,0,0,1,1,3,3,2,2,0,1,1,0,0,0,1,2,1,0,1,0,1,0,0,1,0,2,2,1,0,0,1,1,0,0,0,1,0,0,2,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
4351127,3/4/2020 19:59,1/11/2000 0:00,20.23,1,4,4,1,1,1,0,2,0,1,3,3,3,2,2,2,0,1,1,3,3,2,1,1,1,0,1,3,3,0,2,1,0,1,0,3,3,3,3,0,0,3,3,3,3,2,3,1,1,0,1,3,3,2,2,2,0,1,3,3,3,1,1,1,1,1,2,3,3,2,2,1,2,1,0,2,3,2,0,2,1
5214923,3/8/2020 15:09,5/22/1987 0:00,32.87,0,6,3,1,1,1,1,3,1,1,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
9212064,3/26/2020 18:16,3/28/1957 0:00,63.02,0,6,4,1,0,0,1,1,1,1,0,0,1,0,1,1,0,0,2,0,0,0,2,2,1,2,1,0,0,2,1,3,0,0,0,0,2,0,1,0,0,0,0,0,1,2,2,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,2,2,0,0,1,0,0,2,0,1,2,0,0,0,0,1,0,0,0
12968537,3/4/2020 22:55,5/4/1975 0:00,44.92,0,6,4,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,2,1,1,3,1,1,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,1,0,0,3,2,0,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1
16999630,3/4/2020 22:56,10/30/2000 0:00,19.43,0,4,0,1,0,1,0,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3,3,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
17668434,3/21/2020 18:18,6/14/1958 0:00,61.81,1,6,4,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19486912,3/4/2020 22:09,6/20/2000 0:00,19.79,0,4,4,1,1,1,1,3,0,0,0,0,0,2,2,2,0,0,0,0,1,2,2,1,0,0,0,0,1,0,2,0,0,0,1,0,2,2,1,1,0,0,0,0,2,2,2,0,0,0,0,1,2,2,2,0,0,0,0,1,0,2,3,0,0,0,0,1,2,3,2,0,0,0,1,0,1,2,0,0,1
20829202,,2/2/1991 0:00,29.17,,,,1,1,1,1,3,0,0,2,1,3,2,2,1,0,1,2,1,2,2,2,0,1,0,1,1,1,1,1,0,1,1,2,1,2,3,1,0,0,0,1,2,2,2,1,1,0,1,1,2,2,1,1,2,1,1,3,2,2,2,1,1,1,2,2,1,2,2,1,2,1,1,0,1,1,2,0,0,1
21823118,,1/19/1952 0:00,68.21,,,,1,1,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
