UserID,Gender,CSIPPA,CSIPBC,CSIPDE,CSIPFG,CSIPHI,CSIPJK,CSIPLM,CSIPNO,CSIPTOT,CSIPPA.ip,CSIPBC.ip,CSIPDE.ip,CSIPFG.ip,CSIPHI.ip,CSIPJK.ip,CSIPLM.ip,CSIPNO.ip,CLOITA,CLOITD,CLOITG,CLOITJ,CLOITM,CLOITP,CLOITC,CLOITF,CLOITI,CLOITL,CLOITO,CLOITB,CLOITE,CLOITH,CLOITK,CLOITN,CLOITTOT,CLOITPA,CLOITBC,CLOITDE,CLOITFG,CLOITHI,CLOITJK,CLOITLM,CLOITNO,CLOITAB,CLOITCD,CLOITEF,CLOITGH,CLOITIJ,CLOITKL,CLOITMN,CLOITOP,CLOITHD,CLOITHS,CLOITFS,CLOITFD,CLOITDOM,CLOITSUB,CLOITFRI,CLOITHOS,CLOITCONTROL,CLOITAFFILIA,NIC,AIN,CLOITA.ip,CLOITD.ip,CLOITG.ip,CLOITJ.ip,CLOITM.ip,CLOITP.ip,CLOITC.ip,CLOITF.ip,CLOITI.ip,CLOITL.ip,CLOITO.ip,CLOITB.ip,CLOITE.ip,CLOITH.ip,CLOITK.ip,CLOITN.ip,CLOITPA.ip,CLOITBC.ip,CLOITDE.ip,CLOITFG.ip,CLOITHI.ip,CLOITJK.ip,CLOITLM.ip,CLOITNO.ip,CLOITAB.ip,CLOITCD.ip,CLOITEF.ip,CLOITGH.ip,CLOITIJ.ip,CLOITKL.ip,CLOITMN.ip,CLOITOP.ip,CLOITHD.ip,CLOITHS.ip,CLOITFS.ip,CLOITFD.ip,CLOITDOM.ip,CLOITSUB.ip,CLOITFRI.ip,CLOITHOS.ip,CLOITCONTROL.ip,CLOITAFFILIA.ip
2569324, , , , , , , , , , , , , , , , , , ,3,1,2,6,7,7,2,1,0,4,0,3,1,0,6,4,47,10,5,2,3,0,12,11,4,6,3,2,2,6,10,11,7,8.524,3.631,20.189,17.234,15.569,13.115,23.613,6.825,2.454,16.788,33,1.424242424,0.014154881,-0.438801303,-0.212323211,0.693589157,0.920067249,0.920067249,-0.212323211,-0.438801303,-0.665279395,0.240632973,-0.665279395,0.014154881,-0.438801303,-0.665279395,0.693589157,0.240632973,0.93422213,-0.198168331,-0.877602607,-0.651124515,-1.330558791,1.387178314,1.160700222,-0.424646423,0.028309762,-0.651124515,-0.877602607,-0.877602607,0.028309762,0.93422213,1.160700222,0.254787854,-0.904921527,-2.013078831,1.736945417,1.067702655,0.181012615,-0.374764623,2.002802388,-1.799311822,0.555777238,3.80211421
4351127,1,3,8,14,24,24,14,16,9,112,-1.245504738,-0.67936622,-4.86E-17,1.132277034,1.132277034,-3.47E-17,0.226455407,-0.566138517,0,1,9,9,5,1,4,4,9,3,2,0,3,6,4,4,64,1,4,4,13,15,13,8,6,0,5,7,15,18,7,9,3,7.045,26.724,24.986,10.155,7.081,34.732,19.54,19.109,-27.651,0.431,44,1.454545455,-0.834057656,-0.625543242,1.04257207,1.04257207,0.208514414,-0.625543242,1.30E-16,1.48E-16,1.04257207,-0.208514414,-0.417028828,-0.834057656,-0.208514414,0.417028828,1.48E-16,1.11E-16,-1.459600898,-0.834057656,-0.834057656,1.04257207,1.459600898,1.04257207,1.94E-16,-0.417028828,-1.668115312,-0.625543242,-0.208514414,1.459600898,2.085144141,-0.208514414,0.208514414,-1.04257207,-2.085769684,2.01758547,1.655187419,-1.437289856,-2.71715133,3.048480734,-0.119270245,-0.209139957,-5.765632063,0.089869712
5214923,0,5,3,1,0,0,1,4,4,18,0.764552852,0.208514414,-0.347524023,-0.625543242,-0.625543242,-0.347524023,0.486533633,0.486533633,8,4,0,5,7,2,4,0,1,5,6,4,3,4,9,7,69,10,8,7,0,5,14,12,13,12,8,3,4,6,14,14,8,19.169,6.524,23.896,24.921,24.827,17.594,31.374,12.588,7.233,18.786,48,1.4375,0.768440254,-0.065122055,-0.898684365,0.143268522,0.560049677,-0.48190321,-0.065122055,-0.898684365,-0.690293788,0.143268522,0.351659099,-0.065122055,-0.273512633,-0.065122055,0.976830831,0.560049677,0.286537044,-0.130244111,-0.338634688,-1.79736873,-0.755415843,1.120099353,0.703318199,0.911708776,0.703318199,-0.130244111,-1.172196998,-0.96380642,-0.547025266,1.120099353,1.120099353,-0.130244111,0.164446214,-2.470652637,1.149508474,1.363108815,0.655127878,-0.852161169,2.019460988,-1.895364399,1.507289046,3.914825387
9212064, , , , , , , , , , , , , , , , , , ,9,3,3,3,9,5,5,6,4,7,5,4,5,5,5,7,85,14,9,8,9,9,8,16,12,13,8,11,8,7,12,16,10,21.366,19.527,23.431,28.814,28.216,22.027,32.07,22.419,6.189,9.651,58,1.465517241,0.754243863,-0.473000389,-0.473000389,-0.473000389,0.754243863,-0.063918971,-0.063918971,0.140621737,-0.26845968,0.345162446,-0.063918971,-0.26845968,-0.063918971,-0.063918971,-0.063918971,0.345162446,0.690324891,-0.332378651,-0.53691936,-0.332378651,-0.332378651,-0.53691936,1.099406308,0.281243474,0.485784183,-0.53691936,0.076702766,-0.53691936,-0.741460068,0.281243474,1.099406308,-0.127837943,-0.260968377,-0.63711874,0.161408187,1.262450821,0.307782631,-0.958119814,1.096082522,-0.877939856,1.265902445,1.974022378
12968537,0,4,3,2,6,2,7,6,3,33,-0.020837856,-0.187540703,-0.354243551,0.312567839,-0.354243551,0.479270686,0.312567839,-0.187540703,3,1,0,5,9,1,2,0,1,2,1,5,3,1,3,2,39,4,7,4,0,2,8,11,3,8,3,3,1,6,5,11,2,11.786,3.752,16.538,12.256,11.814,9.431,17.822,7.636,2.383,10.186,29,1.344827586,0.139825069,-0.357330732,-0.605908633,0.636980871,1.631292473,-0.357330732,-0.108752832,-0.605908633,-0.357330732,-0.108752832,-0.357330732,0.636980871,0.139825069,-0.357330732,0.139825069,-0.108752832,-0.217505663,0.528228039,-0.217505663,-1.211817266,-0.714661465,0.77680594,1.522539642,-0.466083564,0.77680594,-0.466083564,-0.466083564,-0.963239365,0.279650138,0.031072238,1.522539642,-0.714661465,0.347356544,-1.64971831,1.528598728,0.464188157,-0.109809288,-0.702170425,1.38364674,-1.148367757,0.592361137,2.532014497
17668434, , , , , , , , , , , , , , , , , , ,5,3,3,3,7,3,1,1,1,3,2,2,1,3,7,6,51,8,3,4,4,4,10,10,8,7,4,2,6,4,10,13,5,9.862,8.11,18.2,18.8,15.188,15.146,23.977,9.439,0.042,14.538,37,1.378378378,0.410820923,-0.042498716,-0.042498716,-0.042498716,0.864140563,-0.042498716,-0.495818356,-0.495818356,-0.495818356,-0.042498716,-0.269158536,-0.269158536,-0.495818356,-0.042498716,0.864140563,0.637480743,0.368322207,-0.764976892,-0.538317072,-0.538317072,-0.538317072,0.821641847,0.821641847,0.368322207,0.141662387,-0.538317072,-0.991636711,-0.084997432,-0.538317072,0.821641847,1.501621306,-0.311657252,-0.843882841,-1.240990846,1.046006736,1.182002628,-0.190110924,-0.199630636,1.802002232,-1.493178228,0.009519712,3.29518046
19486912,0,0,0,1,3,10,15,16,4,49,-0.80785085,-0.80785085,-0.675956833,-0.412168801,0.511089313,1.170559394,1.302453411,-0.280274785,7,2,8,7,9,2,3,0,4,9,4,1,0,3,7,9,75,9,4,2,8,7,14,18,13,8,5,0,11,11,16,18,6,10.721,13.6,30.975,25.476,18.934,27.292,36.856,11.157,-8.358,25.699,52,1.442307692,0.478026601,-0.555544428,0.684740806,0.478026601,0.891455012,-0.555544428,-0.348830222,-0.968972839,-0.142116016,0.891455012,-0.142116016,-0.762258633,-0.968972839,-0.348830222,0.478026601,0.891455012,-0.077517827,-1.111088855,-1.524517267,-0.284232033,-0.490946238,0.956053201,1.782910024,0.749338995,-0.284232033,-0.90437465,-1.937945678,0.335910584,0.335910584,1.369481612,1.782910024,-0.697660444,-1.913579241,-1.318449043,2.27321028,1.136488863,-0.958068665,0.769648666,2.746663329,-2.565685042,-1.727717331,5.312348371
20829202,NA,4,6,14,11,16,15,10,7,83,-1.016145954,-0.697355067,0.577808484,0.099622152,0.896599371,0.737203928,-0.059773291,-0.537959623, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
21823118,NA,0,0,0,0,0,2,2,0,4,-0.25819889,-0.25819889,-0.25819889,-0.25819889,-0.25819889,0.774596669,0.774596669,-0.25819889, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
22212366,NA,1,2,7,6,7,3,6,1,33,-0.570692968,-0.388071218,0.525037531,0.342415781,0.525037531,-0.205449468,0.342415781,-0.570692968, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
