UserID.S2,UserID.S1,DOC.S2,DOC.S1,DAYS,CSIPPA.2,CSIPBC.2,CSIPDE.2,CSIPFG.2,CSIPHI.2,CSIPJK.2,CSIPLM.2,CSIPNO.2,CSIPTOT.2,CSIPPA.ip.2,CSIPBC.ip.2,CSIPDE.ip.2,CSIPFG.ip.2,CSIPHI.ip.2,CSIPJK.ip.2,CSIPLM.ip.2,CSIPNO.ip.2,CSIPPA.1,CSIPBC.1,CSIPDE.1,CSIPFG.1,CSIPHI.1,CSIPJK.1,CSIPLM.1,CSIPNO.1,CSIPTOT.1,CSIPPA.ip.1,CSIPBC.ip.1,CSIPDE.ip.1,CSIPFG.ip.1,CSIPHI.ip.1,CSIPJK.ip.1,CSIPLM.ip.1,CSIPNO.ip.1
19486912,330196377,3/4/2020 22:09,6/26/2019 23:05,251.96,0,0,1,3,10,15,16,4,49,-0.80785085,-0.80785085,-0.675956833,-0.412168801,0.511089313,1.170559394,1.302453411,-0.280274785,0,3,2,3,15,21,20,8,72,-0.964901281,-0.643267521,-0.750478774,-0.643267521,0.643267521,1.286535042,1.179323788,-0.107211253
44913475,947323275,3/3/2020 22:22,6/27/2019 8:29,250.58,0,0,1,0,0,4,11,3,19,-0.438318913,-0.438318913,-0.253763581,-0.438318913,-0.438318913,0.299902414,1.591789738,0.115347082,1,0,0,0,2,4,9,2,18,-0.287242495,-0.517036491,-0.517036491,-0.517036491,-0.057448499,0.402139493,1.551109472,-0.057448499
48923280,1746180174,3/4/2020 13:51,6/27/2019 20:16,250.73,4,0,4,5,13,14,18,13,71,-0.608262256,-1.107349236,-0.608262256,-0.483490511,0.514683448,0.639455193,1.138542172,0.514683448,2,0,1,3,6,14,20,11,57,-0.603006384,-0.838325948,-0.720666166,-0.485346602,-0.132367255,0.808911003,1.514869696,0.455931656
74101214,29398327,3/5/2020 20:04,6/29/2019 15:40,250.18,4,1,8,11,11,13,9,5,62,-0.541618609,-0.974913495,0.036107907,0.469402794,0.469402794,0.758266052,0.180539536,-0.39718698,2,2,7,7,7,8,5,2,40,-0.625543242,-0.625543242,0.417028828,0.417028828,0.417028828,0.625543242,5.55E-17,-0.625543242
77699825,1928382941,3/3/2020 16:10,6/26/2019 8:04,251.34,1,3,4,8,2,10,16,7,51,-0.729023019,-0.45775864,-0.32212645,0.220402308,-0.593390829,0.491666687,1.305459824,0.084770118,6,1,3,5,3,14,16,5,53,-0.074116787,-0.667051087,-0.429877367,-0.192703647,-0.429877367,0.874578091,1.111751811,-0.192703647
78746743,651901361,3/12/2020 8:47,6/27/2019 16:19,258.69,7,7,19,21,18,14,13,6,105,-0.643013613,-0.643013613,0.616768159,0.826731788,0.511786345,0.091859088,-0.013122727,-0.747995427,6,8,20,22,20,14,22,12,124,-1.014144974,-0.800640769,0.480384461,0.693888666,0.480384461,-0.160128154,0.693888666,-0.373632359
131141118,2094780984,3/3/2020 14:00,6/25/2019 20:49,251.72,0,0,0,1,12,16,17,11,57,-0.826955882,-0.826955882,-0.826955882,-0.710891898,0.565811919,1.030067853,1.146131836,0.449747936,0,1,7,10,20,20,20,10,88,-1.116880782,-1.015346165,-0.406138466,-0.101534617,0.913811549,0.913811549,0.913811549,-0.101534617
237919932,779348362,3/4/2020 9:41,6/30/2019 11:58,247.9,1,2,5,11,3,7,16,6,51,-0.650098894,-0.529150262,-0.166304368,0.55938742,-0.408201631,0.075592895,1.164130577,-0.045355737,1,1,2,3,2,2,10,4,25,-0.393017626,-0.393017626,-0.208068155,-0.023118684,-0.208068155,-0.208068155,1.271527612,0.161830787
244888207,2085093637,3/4/2020 23:39,6/26/2019 7:30,252.67,4,3,3,6,16,22,22,12,88,-0.696526033,-0.796029752,-0.796029752,-0.497518595,0.497518595,1.094540909,1.094540909,0.099503719,2,2,2,0,15,24,24,7,76,-0.691163516,-0.691163516,-0.691163516,-0.875473787,0.506853245,1.336249465,1.336249465,-0.230387839
247130080,1208920646,3/5/2020 18:52,6/25/2019 23:48,253.79,2,8,9,17,23,18,20,5,102,-1.191231716,-0.5263582,-0.415545947,0.470952074,1.135825589,0.581764326,0.803388832,-0.858794958,1,4,11,17,23,21,22,5,104,-1.218415398,-0.913811549,-0.203069233,0.406138466,1.015346165,0.812276932,0.913811549,-0.812276932
290504298,716720930,3/4/2020 16:47,6/27/2019 9:30,251.3,0,3,14,13,16,11,8,1,66,-0.922738556,-0.587197263,0.643120812,0.531273714,0.866815007,0.307579519,-0.027961774,-0.810891458,2,7,15,17,16,14,12,3,86,-1.014173279,-0.434645691,0.49259845,0.724409485,0.608503967,0.376692932,0.144881897,-0.898267761
292667808,1032260199,3/3/2020 22:47,6/27/2019 13:28,250.39,0,8,15,23,24,13,11,7,101,-1.195036166,-0.437785526,0.224808784,0.982059423,1.076715753,0.035496124,-0.153816536,-0.532441856,0,10,12,22,22,15,7,7,95,-1.132317248,-0.178786934,0.011919129,0.965449443,0.965449443,0.297978223,-0.464846028,-0.464846028
293089725,179665139,3/3/2020 22:50,7/17/2019 8:08,230.61,5,6,13,6,10,10,14,9,73,-0.584918854,-0.443120344,0.549469227,-0.443120344,0.124073696,0.124073696,0.691267737,-0.017724814,7,4,11,6,10,16,14,10,78,-0.419676177,-0.877504733,0.190761898,-0.572285695,0.03815238,0.953809492,0.648590455,0.03815238
315856145,1513785941,3/4/2020 0:32,6/25/2019 21:46,252.12,18,2,2,9,13,17,18,17,96,0.688247202,-1.147078669,-1.147078669,-0.344123601,0.114707867,0.573539335,0.688247202,0.573539335,14,6,4,12,18,14,19,14,101,0.148607947,-0.716020109,-0.932177123,-0.067549067,0.580921975,0.148607947,0.689000482,0.148607947
371242952,1471392171,3/3/2020 19:57,6/25/2019 20:48,251.96,1,0,0,1,2,3,5,0,12,-0.134839972,-0.404519917,-0.404519917,-0.134839972,0.134839972,0.404519917,0.943879807,-0.404519917,22,22,22,22,21,22,16,22,169,0.192159818,0.192159818,0.192159818,0.192159818,-0.027451403,0.192159818,-1.125507505,0.192159818
381880354,1078751658,3/4/2020 17:16,6/26/2019 5:47,252.48,1,2,6,5,17,14,18,5,68,-0.885422004,-0.767365737,-0.295140668,-0.413196935,1.003478271,0.64930947,1.121534539,-0.413196935,3,2,5,4,9,11,15,3,52,-0.460566186,-0.592156525,-0.197385508,-0.328975847,0.328975847,0.592156525,1.118517881,-0.460566186
433463340,1560299959,3/8/2020 17:44,6/26/2019 9:10,256.36,0,1,3,1,7,7,5,0,24,-0.522232968,-0.348155312,-1.39E-17,-0.348155312,0.696310624,0.696310624,0.348155312,-0.522232968,3,1,3,4,7,7,5,1,31,-0.159794031,-0.525037531,-0.159794031,0.022827719,0.570692968,0.570692968,0.205449468,-0.525037531
471620237,2036861070,3/31/2020 18:11,6/26/2019 10:42,279.31,7,5,7,9,9,8,10,5,60,-0.088735651,-0.443678255,-0.088735651,0.266206953,0.266206953,0.088735651,0.443678255,-0.443678255,9,3,3,6,3,4,11,8,47,0.517364429,-0.475975275,-0.475975275,0.020694577,-0.475975275,-0.310418658,0.848477664,0.351807812
478562326,1538467163,3/3/2020 18:58,6/25/2019 22:54,251.84,6,4,5,3,3,2,4,1,28,0.56254395,0.11250879,0.33752637,-0.11250879,-0.11250879,-0.33752637,0.11250879,-0.56254395,6,5,8,4,2,3,5,2,35,0.33267781,0.127953004,0.742127422,-0.076771802,-0.486221414,-0.281496608,0.127953004,-0.486221414
483634038,510088920,3/3/2020 12:59,6/26/2019 11:01,251.08,3,1,6,10,11,4,10,7,52,-0.529150262,-0.831521841,-0.075592895,0.529150262,0.680336051,-0.377964473,0.529150262,0.075592895,4,1,5,13,9,4,10,2,48,-0.316227766,-0.790569415,-0.158113883,1.106797181,0.474341649,-0.316227766,0.632455532,-0.632455532
500050085,779033749,3/4/2020 15:25,6/26/2019 8:57,252.27,1,0,1,3,3,1,5,2,16,-0.288675135,-0.577350269,-0.288675135,0.288675135,0.288675135,-0.288675135,0.866025404,-1.39E-17,1,2,1,3,2,0,2,1,12,-0.160128154,0.160128154,-0.160128154,0.480384461,0.160128154,-0.480384461,0.160128154,-0.160128154
507136488,1247152423,3/6/2020 0:24,6/26/2019 22:31,253.08,0,2,0,11,15,14,12,0,54,-0.914860099,-0.64379044,-0.914860099,0.576023025,1.118162343,0.982627514,0.711557855,-0.914860099,0,0,1,8,13,11,8,0,41,-0.766254755,-0.766254755,-0.616741632,0.429850229,1.177415843,0.878389598,0.429850229,-0.766254755
571722282,113473719,3/4/2020 10:31,6/26/2019 13:00,251.9,5,7,21,23,22,13,11,1,103,-0.852988492,-0.636356494,0.880067492,1.09669949,0.988383491,0.0135395,-0.203092498,-1.286252488,12,11,23,23,23,19,13,0,124,-0.36944587,-0.475001833,0.791669721,0.791669721,0.791669721,0.36944587,-0.263889907,-1.636117423
626082321,1395188491,3/5/2020 21:10,6/25/2019 23:12,253.92,6,3,4,3,9,15,22,14,76,-0.396933584,-0.73716237,-0.623752775,-0.73716237,-0.056704798,0.623752775,1.417619943,0.510343179,12,6,8,9,10,16,20,15,96,0,-0.801783726,-0.534522484,-0.400891863,-0.267261242,0.534522484,1.069044968,0.400891863
642440865,442072470,3/3/2020 16:46,6/26/2019 22:02,250.78,10,4,11,9,14,9,9,16,82,-0.030556617,-0.763915414,0.09166985,-0.152783083,0.458349249,-0.152783083,-0.152783083,0.702802181,7,5,4,9,12,4,5,9,55,0.017378825,-0.260682375,-0.399712975,0.295440025,0.712531824,-0.399712975,-0.260682375,0.295440025
