UserID,Gender,CSIPPA,CSIPBC,CSIPDE,CSIPFG,CSIPHI,CSIPJK,CSIPLM,CSIPNO,CSIPTOT,CSIPPA.ip,CSIPBC.ip,CSIPDE.ip,CSIPFG.ip,CSIPHI.ip,CSIPJK.ip,CSIPLM.ip,CSIPNO.ip
917456,1,20,14,6,4,15,20,12,14,105,0.882176367,0.112276992,-0.914255508,-1.170888633,0.240593555,0.882176367,-0.144356133,0.112276992
1520183,0,3,4,14,17,21,21,17,0,97,-0.995711736,-0.886592641,0.204598302,0.531955585,0.968431962,0.968431962,0.531955585,-1.323069019
7881125,0,3,0,1,4,14,7,12,5,46,-0.393107929,-0.821952943,-0.679004605,-0.250159591,1.179323788,0.178685422,0.893427112,-0.107211253
8234559,0,24,19,16,16,14,18,7,14,128,0.92998111,0.348742916,0,0,-0.232495277,0.232495277,-1.046228749,-0.232495277
10560657,1,2,0,2,5,3,7,8,4,31,-0.367828295,-0.760178477,-0.367828295,0.220696977,-0.171653204,0.613047159,0.80922225,0.024521886
11112119,1,5,4,2,1,3,5,10,12,42,-0.038376478,-0.191882389,-0.498894212,-0.652400123,-0.3453883,-0.038376478,0.729153079,1.036164901
12926488,0,7,6,4,4,8,9,17,6,61,-0.080115449,-0.208300169,-0.464669607,-0.464669607,0.04806927,0.176253989,1.201731741,-0.208300169
15407606,1,5,9,11,18,17,11,8,4,83,-0.654906716,-0.167534276,0.076151944,0.929053714,0.807210604,0.076151944,-0.289377386,-0.776749826
15699227,1,0,0,1,7,11,8,5,3,35,-0.828881359,-0.828881359,-0.639422763,0.497328815,1.255163201,0.686787412,0.118411623,-0.26050557
15978156,0,2,0,7,4,7,6,5,2,33,-0.40169935,-0.779769326,0.543475591,-0.023629374,0.543475591,0.354440603,0.165405615,-0.40169935
16649967,0,9,7,12,6,9,10,18,11,82,-0.152783083,-0.397236015,0.213896316,-0.519462482,-0.152783083,-0.030556617,0.947255114,0.09166985
17448402,0,5,12,16,20,11,3,7,3,77,-0.503552852,0.258581194,0.694086364,1.129591534,0.149704902,-0.721305437,-0.285800268,-0.721305437
19079319,0,1,4,8,17,19,14,8,1,72,-0.900070321,-0.56254395,-0.11250879,0.900070321,1.125087901,0.56254395,-0.11250879,-0.900070321
19309179,0,1,4,1,2,8,5,10,4,35,-0.521647833,-0.05796087,-0.521647833,-0.367085512,0.560288413,0.096601451,0.869413055,-0.05796087
21528281,1,4,4,9,7,5,10,12,9,60,-0.55513611,-0.55513611,0.237915476,-0.079305159,-0.396525793,0.396525793,0.713746427,0.237915476
22914092,0,4,2,4,11,12,12,11,5,61,-0.450113078,-0.698451327,-0.450113078,0.419070796,0.543239921,0.543239921,0.419070796,-0.325943953
25751692,0,4,0,4,6,6,11,18,11,60,-0.373632359,-0.800640769,-0.373632359,-0.160128154,-0.160128154,0.373632359,1.120897077,0.373632359
27025648,0,4,6,12,20,20,17,18,4,101,-0.882081806,-0.677541097,-0.063918971,0.754243863,0.754243863,0.4474328,0.549703154,-0.882081806
28418935,0,13,8,8,8,7,8,11,11,74,0.729324957,-0.243108319,-0.243108319,-0.243108319,-0.437594974,-0.243108319,0.340351647,0.340351647
29398327,0,2,2,7,7,7,8,5,2,40,-0.625543242,-0.625543242,0.417028828,0.417028828,0.417028828,0.625543242,5.55E-17,-0.625543242
36354612,0,2,0,2,1,1,4,8,2,20,-0.118678166,-0.593390829,-0.118678166,-0.356034497,-0.356034497,0.356034497,1.305459824,-0.118678166
39832881,0,5,10,13,20,17,14,13,1,93,-0.770873415,-0.189082158,0.159992596,0.974500355,0.625425601,0.276350847,0.159992596,-1.23630642
44711680,0,7,3,2,4,5,2,2,4,29,0.580008434,-0.107408969,-0.27926332,0.064445382,0.236299732,-0.27926332,-0.27926332,0.064445382
53897793,0,17,4,1,0,1,2,10,7,42,1.688289839,-0.179605302,-0.610658027,-0.754342269,-0.610658027,-0.466973785,0.682500148,0.251447423
54193464,0,6,4,8,5,6,14,15,12,70,-0.316620514,-0.546889979,-0.086351049,-0.431755247,-0.316620514,0.604457346,0.719592078,0.374187881
54983970,1,3,3,5,3,3,2,3,6,28,-0.107211253,-0.107211253,0.32163376,-0.107211253,-0.107211253,-0.32163376,-0.107211253,0.536056267
56451728,0,7,6,5,1,1,3,11,4,38,0.341389459,0.18966081,0.037932162,-0.568982431,-0.568982431,-0.265525135,0.948304052,-0.113796486
58705120,0,0,4,7,7,5,6,4,0,33,-0.56142263,-0.017012807,0.39129456,0.39129456,0.119089649,0.255192104,-0.017012807,-0.56142263
60218780,1,8,5,3,6,5,6,5,7,45,0.399403001,-0.105106053,-0.441445422,0.063063632,-0.105106053,0.063063632,-0.105106053,0.231233317
65892291,1,1,0,0,1,1,2,12,3,20,-0.307793506,-0.512989176,-0.512989176,-0.307793506,-0.307793506,-0.102597835,1.949358869,0.102597835
66656943,0,3,3,19,20,14,9,17,3,88,-0.867721831,-0.867721831,0.867721831,0.97618706,0.325395687,-0.216930458,0.650791373,-0.867721831
72694841,0,5,2,5,4,13,8,17,8,62,-0.333639847,-0.697610589,-0.333639847,-0.454963427,0.636948798,0.030330895,1.122243121,0.030330895
72820843,0,2,4,6,18,13,7,15,0,65,-0.707327764,-0.476363596,-0.245399428,1.140385578,0.562975159,-0.129917344,0.793939326,-0.938291931
77612620,0,0,0,0,0,2,3,1,0,6,-0.32163376,-0.32163376,-0.32163376,-0.32163376,0.536056267,0.964901281,0.107211253,-0.32163376
78774215,1,10,4,6,6,13,20,13,14,86,-0.072696572,-0.654269146,-0.460411621,-0.460411621,0.218089715,0.896591052,0.218089715,0.315018478
78886504,1,2,4,3,10,10,20,21,5,75,-0.756223834,-0.551146184,-0.653685009,0.064086766,0.064086766,1.089475015,1.19201384,-0.448607359
82853646,0,7,9,13,6,12,10,10,9,76,-0.328975847,-0.065795169,0.460566186,-0.460566186,0.328975847,0.065795169,0.065795169,-0.065795169
