UserID,Gender,CSIPPA,CSIPBC,CSIPDE,CSIPFG,CSIPHI,CSIPJK,CSIPLM,CSIPNO,CSIPTOT,CSIPPA.ip,CSIPBC.ip,CSIPDE.ip,CSIPFG.ip,CSIPHI.ip,CSIPJK.ip,CSIPLM.ip,CSIPNO.ip
2569324,0,4,4,8,9,1,4,6,3,39,-0.139693013,-0.139693013,0.498903617,0.658552774,-0.618640485,-0.139693013,0.179605302,-0.29934217
4351127,1,3,8,14,24,24,14,16,9,112,-1.245504738,-0.67936622,-4.86E-17,1.132277034,1.132277034,-3.47E-17,0.226455407,-0.566138517
5214923,0,5,3,1,0,0,1,4,4,18,0.764552852,0.208514414,-0.347524023,-0.625543242,-0.625543242,-0.347524023,0.486533633,0.486533633
9212064,0,2,3,4,2,4,7,10,10,42,-0.498894212,-0.3453883,-0.191882389,-0.498894212,-0.191882389,0.268635345,0.729153079,0.729153079
12968537,0,4,3,2,6,2,7,6,3,33,-0.020837856,-0.187540703,-0.354243551,0.312567839,-0.354243551,0.479270686,0.312567839,-0.187540703
16999630,0,24,24,24,24,24,22,22,24,188,0.179605302,0.179605302,0.179605302,0.179605302,0.179605302,-0.538815906,-0.538815906,0.179605302
17668434,1,4,1,2,0,2,2,8,3,22,0.291111255,-0.407555757,-0.174666753,-0.640444761,-0.174666753,-0.174666753,1.22266727,0.058222251
19486912,0,0,0,1,3,10,15,16,4,49,-0.80785085,-0.80785085,-0.675956833,-0.412168801,0.511089313,1.170559394,1.302453411,-0.280274785
20829202,,4,6,14,11,16,15,10,7,83,-1.016145954,-0.697355067,0.577808484,0.099622152,0.896599371,0.737203928,-0.059773291,-0.537959623
21823118,,0,0,0,0,0,2,2,0,4,-0.25819889,-0.25819889,-0.25819889,-0.25819889,-0.25819889,0.774596669,0.774596669,-0.25819889
22212366,,1,2,7,6,7,3,6,1,33,-0.570692968,-0.388071218,0.525037531,0.342415781,0.525037531,-0.205449468,0.342415781,-0.570692968
39495363,0,1,3,14,21,17,7,15,7,85,-0.981788321,-0.777780358,0.344263437,1.058291307,0.650275382,-0.369764433,0.446267419,-0.369764433
39679398,1,3,5,2,0,0,3,6,5,24,5.55E-17,0.371390676,-0.185695338,-0.557086015,-0.557086015,2.78E-17,0.557086015,0.371390676
41631419,0,7,5,1,10,12,15,19,9,78,-0.377964473,-0.652847726,-1.202614232,0.034360407,0.30924366,0.721568539,1.271335046,-0.10308122
42894859,1,1,2,9,12,4,0,1,1,30,-0.42465029,-0.270232003,0.810696008,1.27395087,0.038604572,-0.579068577,-0.42465029,-0.42465029
44674015,,17,12,18,18,17,15,11,10,118,0.280293597,-0.342581063,0.404868529,0.404868529,0.280293597,0.031143733,-0.467155995,-0.591730927
44913475,1,0,0,1,0,0,4,11,3,19,-0.438318913,-0.438318913,-0.253763581,-0.438318913,-0.438318913,0.299902414,1.591789738,0.115347082
46490609,1,1,0,8,18,8,4,12,1,52,-0.580557795,-0.686113758,0.158333944,1.213893572,0.158333944,-0.263889907,0.580557795,-0.580557795
